# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a18189ce07.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a185cf04ea5_1.json
# random
#   seed = 512803685
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031256-1-2323f2.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031256-1-4ec710.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 4.01176e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-90.4289,0.994237,4.01176e-05,10,1023,0,97.5837,11.9707,5.13098,0.203101,1.14657,7.36881,4.98898,1,0.410602,0,0.911815,-0.672216,0.895018
-90.2713,0.987056,4.01176e-05,10,1023,0,97.3469,11.9882,5.12873,0.19848,1.18836,7.23075,5.02742,1,0.398441,0,0.917194,-0.685861,0.895665
-91.6662,0.970151,4.01176e-05,10,1023,0,93.3171,11.9711,5.15201,0.197621,1.22879,7.07412,4.87902,1,0.385848,0,0.922562,-0.658321,0.894979
-91.4311,0.983749,4.01176e-05,10,1023,0,92.8821,11.9559,5.14187,0.197962,1.22955,7.19179,4.79921,1,0.403029,0,0.915187,-0.686423,0.895036
-90.6381,0.880196,4.01176e-05,10,1023,0,93.6646,11.9647,5.10856,0.20406,1.22702,7.10433,4.86916,1,0.413116,0,0.910678,-0.697414,0.894027
-91.1601,0.537618,4.01176e-05,10,1023,0,93.8828,11.9617,5.09965,0.202208,1.20815,6.98259,4.85305,1,0.417069,0,0.908875,-0.696723,0.894937
-91.1765,0.951344,4.01176e-05,10,1023,0,93.6481,11.9669,5.09471,0.202632,1.21639,6.9725,4.85621,1,0.416675,0,0.909056,-0.69614,0.894966
-90.9706,0.812921,4.01176e-05,10,1023,0,93.7921,11.9744,5.09117,0.206116,1.18453,7.03488,4.84171,1,0.411304,0,0.911498,-0.682042,0.893737
-91.8113,0.504892,4.01176e-05,10,1023,0,102.435,11.9697,5.13041,0.200012,1.22747,7.02503,4.85977,1,0.464083,0,0.885792,-0.707985,0.885017
-92.151,0.550176,4.01176e-05,10,1023,0,95.327,11.968,5.13128,0.199513,1.22605,6.99567,4.85427,1,0.464639,0,0.8855,-0.706471,0.8848
-92.0861,0.830076,4.01176e-05,10,1023,0,96.9467,11.9581,5.18975,0.191686,1.24038,6.84052,4.77699,1,0.476872,0,0.878973,-0.735077,0.881106
-91.7825,0.828752,4.01176e-05,10,1023,0,97.0323,11.9553,5.17419,0.194113,1.25654,7.02434,4.76872,1,0.495319,0,0.868711,-0.749689,0.883873
-91.5962,0.966205,4.01176e-05,10,1023,0,94.3388,11.9714,5.16161,0.198116,1.29512,7.14511,4.71895,1,0.477481,0,0.878642,-0.748809,0.884041
-90.6496,0.979259,4.01176e-05,10,1023,0,97.8982,11.9789,5.15029,0.194147,1.2194,6.90165,4.63312,1,0.47906,0,0.877782,-0.816611,0.878131
-90.5857,0.939639,4.01176e-05,10,1023,0,93.2329,11.9909,5.15474,0.191857,1.22131,7.35762,4.63303,1,0.467545,0,0.883969,-0.805369,0.878139
-90.4917,0.75523,4.01176e-05,10,1023,0,93.2017,11.991,5.15532,0.192221,1.22379,7.35583,4.63412,1,0.46845,0,0.88349,-0.805942,0.878042
-90.4373,0.808919,4.01176e-05,10,1023,0,93.8251,11.9839,5.17688,0.194085,1.20873,7.40167,4.60924,1,0.484418,0,0.874837,-0.826489,0.88044
-90.4825,0.848022,4.01176e-05,10,1023,0,94.128,11.9832,5.15608,0.197162,1.19396,7.31275,4.62759,1,0.487136,0,0.873326,-0.830341,0.879996
-90.2819,0.996088,4.01176e-05,10,1023,0,93.7386,11.9465,5.12729,0.207493,1.22209,7.38865,4.7029,1,0.48274,0,0.875764,-0.832286,0.879273
-89.0874,0.977794,4.01176e-05,10,1023,0,97.2172,11.9363,5.10726,0.221347,1.19822,7.4178,4.80489,1,0.487064,0,0.873366,-0.867676,0.884018
-88.7958,0.875875,4.01176e-05,10,1023,0,94.0567,11.9779,5.14433,0.224224,1.17925,7.03571,4.76442,1,0.484835,0,0.874606,-0.903447,0.881945
-88.7648,0.996029,4.01176e-05,10,1023,0,91.9147,11.9951,5.12557,0.221664,1.18827,6.90457,4.82049,1,0.476637,0,0.8791,-0.888545,0.880986
-88.8314,0.999214,4.01176e-05,10,1023,0,94.0638,11.9674,5.13023,0.208629,1.13826,7.04179,4.81312,1,0.487934,0,0.87288,-0.881276,0.888822
